,行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润,退回,地区经理
0,1,US-2018-1357144,2018-04-27,2018-04-29,二级,曾惠-14485,曾惠,公司,杭州,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",129.696,2,0.4,-60.70400000000001,,洪光
1,2,CN-2018-1973789,2018-06-15,2018-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-信封-10004832,办公用品,信封,"GlobeWeis 搭扣信封, 红色",125.43999999999998,2,0.0,42.56,,白德伟
2,3,CN-2018-1973789,2018-06-15,2018-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-装订-10001505,办公用品,装订机,"Cardinal 孔加固材料, 回收",31.92,2,0.4,4.199999999999999,,白德伟
3,4,US-2018-3017568,2018-12-09,2018-12-13,标准级,宋良-17170,宋良,公司,镇江,江苏,中国,华东,办公用-用品-10003746,办公用品,用品,"Kleencut 开信刀, 工业",321.216,4,0.4,-27.104000000000013,,洪光
4,5,CN-2017-2975416,2017-05-31,2017-06-02,二级,万兰-15730,万兰,消费者,汕头,广东,中国,中南,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",1375.92,3,0.0,550.2,,范彩
5,6,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.580000000002,9,0.0,3783.78,是,洪光
6,6,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.580000000002,9,0.0,3783.78,是,洪光
7,6,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.580000000002,9,0.0,3783.78,是,洪光
8,6,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.580000000002,9,0.0,3783.78,是,洪光
9,6,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.580000000002,9,0.0,3783.78,是,洪光
10,7,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76,是,洪光
11,7,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76,是,洪光
12,7,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76,是,洪光
13,7,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76,是,洪光
14,7,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76,是,洪光
15,8,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08,是,洪光
16,8,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08,是,洪光
17,8,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08,是,洪光
18,8,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08,是,洪光
19,8,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08,是,洪光
20,9,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.900000000000006,是,洪光
21,9,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.900000000000006,是,洪光
22,9,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.900000000000006,是,洪光
23,9,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.900000000000006,是,洪光
24,9,CN-2016-4497736,2016-10-27,2016-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.900000000000006,是,洪光
